DEBUG 2024-12-30 12:29:27,168 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\special\_spfun_stats.py first seen with mtime 1734661413.3510346
DEBUG 2024-12-30 12:29:27,169 autoreload 37192 10332 File C:\Python312\Lib\ast.py first seen with mtime 1725625874.0
DEBUG 2024-12-30 12:29:27,169 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1734592818.0167713
DEBUG 2024-12-30 12:29:27,170 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\pandas\core\dtypes\base.py first seen with mtime 1734592884.1559439
DEBUG 2024-12-30 12:29:27,170 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\sparse\linalg\__init__.py first seen with mtime 1734661413.187459
DEBUG 2024-12-30 12:29:27,171 autoreload 37192 10332 File C:\Python312\Lib\email\contentmanager.py first seen with mtime 1725625874.0
DEBUG 2024-12-30 12:29:27,171 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1734592817.3600092
DEBUG 2024-12-30 12:29:27,171 autoreload 37192 10332 File C:\Python312\Lib\string.py first seen with mtime 1725625874.0
DEBUG 2024-12-30 12:29:27,172 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\settings\settings.py first seen with mtime 1735532956.914217
DEBUG 2024-12-30 12:29:27,172 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\optimize\_lsq\common.py first seen with mtime 1734661413.0459435
DEBUG 2024-12-30 12:29:27,172 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\numpy\_typing\_nbit_base.py first seen with mtime 1734592879.0573602
DEBUG 2024-12-30 12:29:27,174 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\django\middleware\security.py first seen with mtime 1734592819.8980043
DEBUG 2024-12-30 12:29:27,174 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\stats\_rvs_sampling.py first seen with mtime 1734661413.476559
DEBUG 2024-12-30 12:29:27,176 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\ndimage\__init__.py first seen with mtime 1734661412.9009151
DEBUG 2024-12-30 12:29:27,217 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\numpy\linalg\_linalg.py first seen with mtime 1734592878.813776
DEBUG 2024-12-30 12:29:27,217 autoreload 37192 10332 File C:\Python312\Lib\dis.py first seen with mtime 1725625874.0
DEBUG 2024-12-30 12:29:27,218 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\stats\sampling.py first seen with mtime 1734661413.445561
DEBUG 2024-12-30 12:29:27,218 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\numpy\_core\_dtype.py first seen with mtime 1734592878.9642942
